order,name,name_en,status,category,update,effort,new,description,description_en
534,Medir el costo de generar chunks dentro del tick,Measure the cost of generating chunks inside the tick,backlog,Tecnico,,2,,"Generar un chunk nuevo pasa dentro del tick de la simulacion. En promedio es barato, pero hubo picos mucho mas altos que el promedio al caminar hacia territorio nuevo. Vale la pena una corrida de benchmark que mida la distribucion, no solo el promedio, para confirmar si esto explica las trabadas cortas que se vieron en video","Generating a new chunk happens inside the simulation tick. On average it's cheap, but there were spikes well above average when walking into new territory. Worth a benchmark run that measures the distribution, not just the average, to confirm whether this explains the short stutters seen on video"
535,Comando 'net' en el servidor dedicado,'net' command on the dedicated server,backlog,Multijugador,,1,,"El servidor dedicado no tiene un comando net; el tamaño de batch y el jitter del tick estan en 'status', que no es donde alguien buscaria esa info. Agregar el alias o al menos mencionarlo en la salida de perf","The dedicated server has no net command; batch size and tick jitter live under 'status', which isn't where someone would look for that info. Add the alias, or at least mention it in the perf output"
536,Afinar el suavizado de camara al frenar,Smooth out camera easing when stopping,backlog,Tecnico,,2,,"Ya no hay bamboleo caminando, pero al frenar todavia se nota un pequeño deslizamiento (2-3 px). La regla a mantener: 'adelante' se define contra la intencion real del jugador, nunca por el signo de Predicho menos Mostrado, o un cambio de direccion legitimo frena solo","There's no more walking wobble, but stopping still shows a small slide (2-3px). The rule to keep: ""forward"" is defined against the player's actual intent, never by the sign of Predicted minus Displayed, or a legitimate direction change alone will brake"
537,Mapas mucho mas grandes (4 tamaños),Much bigger maps (4 sizes),improved,Mundo,U118 -> U118.1,,,"Cuatro tamaños en vez de tres, y 12-16x mas grandes: Tiny 1024, Small 2048, Medium 4096 (el default), Big 6144 celdas. Calibrado contra un save real de otro juego del mismo genero que Pablo consiguio. Los mundos viejos hay que borrarlos, no son compatibles. Un hotfix aparte arreglo que el mapa se congelaba al entrar en Medium para arriba","Four sizes instead of three, and 12-16x bigger: Tiny 1024, Small 2048, Medium 4096 (the default), Big 6144 cells. Calibrated against a real save file from another game in the same genre that Pablo got hold of. Old worlds have to be deleted, they're not compatible. A separate hotfix fixed the map freezing when entering Medium and up"
538,Fix: el personaje del invitado se movia con tirones,Fix: the guest character moved with a stutter,done,Multijugador,U119,,,"En multijugador, tu propio personaje si sos invitado (no el host) se veia con un movimiento irregular en vez de fluido. Los demas casos (host viendote a vos, vos viendo al host) ya andaban bien","In multiplayer, your own character if you're the guest (not the host) showed up with jerky movement instead of smooth. The other cases (host seeing you, you seeing the host) already worked fine"
539,Un solo criterio para los 3 frentes,One criterion across all three fronts,done,Tecnico,U120,,1,"Single player, host desde el juego y servidor dedicado ya compartian la misma simulacion, pero cada uno armaba su propia lista de argumentos por separado. Se unifico para que los tres arranquen igual","Single player, in-game host and dedicated server already shared the same simulation, but each one built its own argument list separately. Unified so all three start the same way"
540,Catalogo completo (F1),Full Catalog (F1),done,Interfaz,U121-121.1,,1,"Pantalla que lista todo lo que el juego declara, en 5 pestañas, a un click de aparecer en tu mochila. Reemplaza al viejo comando de debug que solo daba un palo. Hoy es herramienta de desarrollo, pero esta pensada desde el nombre para ser la semilla del modo creativo mas adelante","Screen listing everything the game declares, in 5 tabs, one click away from landing in your bag. Replaces the old debug command that could only give you a stick. It's a dev tool today, but named from the start to be the seed of creative mode later"
541,Defensa de armadura funcional,Armor defense that actually works,done,Combate,U123,,1,"El campo Defense de equipamiento existia desde Update 78 pero nadie lo leia. Ahora una pieza puesta realmente ablanda los golpes que recibis, con una curva (no resta plana) - el primer stat con curva del juego","The equipment Defense field existed since Update 78 but nothing read it. Now a worn piece actually softens incoming hits, using a curve (not flat subtraction) - the game's first curved stat"
542,Items generados con rolls (loot procedural),Generated items with rolls (procedural loot),improved,Combate,U124-126 -> U127-131,,1,"Un slot de inventario dejo de ser solo id+cantidad: ahora puede tener un roll propio (afijos, nivel, durabilidad), con tooltip que lo muestra. 29 familias con la tabla de afijos completa, incluyendo bonos en porcentaje sobre un stat derivado. Costo real de meter esto: varios bugs en cadena (fantasma de arrastre invisible, cuadrados violetas al perder el roll al entrar al mundo o al tirarlo al piso, el inventario de un edificio no respetaba los mismos handlers que la mochila), todos encontrados jugando y ya resueltos","An inventory slot stopped being just id+count: it can now carry its own roll (affixes, level, durability), with a tooltip that shows it. 29 families with the full affix table, including percentage bonuses on a derived stat. Real cost of shipping this: a chain of bugs (invisible drag ghost, purple squares when a roll got lost on world entry or when dropped on the floor, a building's inventory not sharing the same handlers as the bag), all found by playing and already fixed"
543,Economia de gear (crafteo y desarme),Gear economy (crafting and dismantling),done,Combate,U129,,1,"Un molde es una forma, no una receta: aprenderlo es por (familia, nivel), y craftear siempre produce un roll fresco al azar. Dos piezas del mismo molde son piezas distintas. Se suma desarmar equipo para recuperar algo","A mould is a shape, not a recipe: learning one is per (family, level), and crafting always produces a fresh random roll. Two pieces from the same mould are still different pieces. Dismantling gear to recover something is part of the loop"
545,Nivel de item: fuente y curva de magnitud,Item level: source and magnitude curve,backlog,Combate,,3,,"Hoy el nivel de un item generado se elige a mano en el catalogo de debug (F1), no depende de nada del mundo. El plan real es que dependa de bioma, tier, edad del mundo o profundidad de mazmorra. Ademas la curva actual multiplica todo x nivel, lo cual funciona a nivel 2 pero se rompe a nivel 5 - hay que pasar a una curva mas suave antes de que el rango de niveles crezca","Today a generated item's level is picked by hand from the debug catalog (F1), it doesn't depend on anything in the world. The real plan is for it to depend on biome, tier, world age or dungeon depth. Also the current curve multiplies everything by level, which works at level 2 but breaks at level 5 - needs a gentler curve before the level range actually widens"
546,Reparar equipo no cuesta nada,Repairing gear costs nothing,backlog,Combate,,2,,"Reparar una pieza generada en la mesa de trabajo es gratis e instantaneo, asi que la durabilidad hoy es una interrupcion, no una decision real. Falta un costo en materiales o tiempo","Repairing a generated piece at the workbench is free and instant, so durability today is an interruption, not a real decision. Needs a material or time cost"
547,Durabilidad de herramientas sin uso real,Tool durability has no real consumer,backlog,Combate,,2,,"Minar y talar no leen el item puesto en el slot de herramienta - son un conteo de golpes, no una accion cronometrada - asi que la durabilidad de una herramienta hoy se gastaria contra nada","Mining and woodcutting don't read the item in the tool slot at all - they're a hit count, not a timed action - so a tool's durability would currently drain against nothing"
548,Afijos generados sin sistema todavia,Generated affixes with no system behind them yet,backlog,Combate,,4,,"El generador ya puede tirar bonos que el juego todavia no puede cumplir: XP/maestria (no existe sistema de XP), chance de critico (no existe sistema de critico), velocidad de crafteo/investigacion (hoy son instantaneos), velocidad de mineria/tala (es por golpes, no por tiempo), ganancia de Tal (no hay en que gastarlo), daño a distancia/magico (el combate hoy es solo cuerpo a cuerpo). Quedan guardados en el dato, con el efecto pendiente en vez de borrados","The generator can already roll bonuses the game can't honour yet: XP/mastery (no XP system exists), crit chance (no crit system), craft/research speed (both are instant today), mining/woodcutting speed (hit-count based, not timed), Tal gain (nothing to spend it on), ranged/magic damage (combat is melee only today). They stay in the data with the effect deferred rather than removed"
549,Politica de version para items generados,Version policy for generated items,backlog,Tecnico,,2,,"Los items generados van a llevar la version del generador que los creo. El dia que la tabla de afijos cambie, hay que decidir: mantener todos los generadores viejos para siempre, o descartar items de version desconocida al cargar. Hoy se descartan (mientras los saves son descartables); decidir en serio cuando el formato se estabilice","Generated items will carry the generator version that produced them. The day the affix table changes, there's a decision to make: keep every old generator forever, or discard items of an unknown version on load. Discarding is today's placeholder (while saves are still disposable); decide properly once the format stabilizes"
550,Edificio para re-rollear un stat de un item,A building that rerolls one stat on an item,backlog,Combate,,3,,"Idea suelta: una estacion que te deje re-tirar un solo afijo de una pieza generada, en vez de quedarte pegado con el roll original para siempre","Loose idea: a station that lets you reroll a single affix on a generated piece, instead of being stuck with the original roll forever"
551,Sistema de sockets / gemas,Socket / gem system,backlog,Combate,,4,,"El set de iconos ya tiene 8 familias de color de gemas y un set de runas, que es el arte de un sistema de sockets que todavia no existe. El generador de items deberia dejar lugar para esto en vez de que haya que meterlo a la fuerza despues","The icon set already has 8 gem color families and a set of runes, which is the art for a socket system that doesn't exist yet. The item generator should leave room for this rather than have it retrofitted later"
